"Field ","Campo "
" is required."," es requerido."
"Flat Rate #1","Tarifa Fija #1"
Enabled,Habilitado
"Method Name","Nombre del Método"
Price,Precio
"Sort Order","Orden"
Title,Título
"Ship to Applicable Countries","Enviar a Países Aplicables"
"Ship to Specific Countries","Enviar a Países Específicos"
"Ship to Specific Zip/Postal Codes","Enviar a Códigos Postales Específicos"
"Separated by semicolons (;)","Separados por punto y coma (;)"
"Show Method if Not Applicable","Mostrar Método si No es Aplicable"
"Displayed Error Message","Mensaje de Error a Mostrar"
"Flat Rate #2","Tarifa Fija #2"
"Flat Rate #3","Tarifa Fija #3"
"Flat Rate #4","Tarifa Fija #4"
"Flat Rate #5","Tarifa Fija #5"
"Flat Rate #6","Tarifa Fija #6"
"Flat Rate #7","Tarifa Fija #7"
"Flat Rate #8","Tarifa Fija #8"
"Flat Rate #9","Tarifa Fija #9"
"Flat Rate #10","Tarifa Fija #10"
"This shipping method is not available. To use this shipping method, please contact us.","Este método de envío no está disponible. Para usar este método de envío, por favor contáctenos."
